Installed Packages
1password.x86_64                                         8.9.14-1                             @1password                
cairo-gobject.x86_64                                     1.17.6-1.fc36                        @anaconda                 
cairomm.x86_64                                           1.14.2-22.fc36                       @anaconda                 
capstone.x86_64                                          4.0.2-9.fc36                         @fedora                   
catatonit.x86_64                                         0.1.7-10.fc36                        @updates                  
catimg.x86_64                                            2.7.0-5.fc36                         @fedora-updates           
cdparanoia-libs.i686                                     10.2-39.fc36                         @anaconda                 
cdparanoia-libs.x86_64                                   10.2-39.fc36                         @anaconda                 
checkpolicy.x86_64                                       3.3-2.fc36                           @anaconda                 
cheese.x86_64                                            2:41.1-2.fc36                        @anaconda                 
cheese-libs.x86_64                                       2:41.1-2.fc36                        @anaconda                 
chkconfig.x86_64                                         1.21-1.fc36                          @updates                  
chrony.x86_64                                            4.3-1.fc36                           @updates                  
cifs-utils.x86_64                                        6.15-1.fc36                          @fedora-updates           
cifs-utils-info.x86_64                                   6.15-1.fc36                          @fedora-updates           
cjkuni-uming-fonts.noarch                                0.2.20080216.1-68.fc36               @fedora                   
clang.x86_64                                             14.0.5-2.fc36                        @updates                  
clang-libs.x86_64                                        14.0.5-2.fc36                        @updates                  
clang-resource-filesystem.x86_64                         14.0.5-2.fc36                        @updates                  
cldr-emoji-annotation.noarch                             1:41-1.fc36                          @fedora-updates           
cldr-emoji-annotation-dtd.noarch                         1:41-1.fc36                          @fedora-updates           
clutter.x86_64                                           1.26.4-8.fc36                        @anaconda                 
clutter-gst3.x86_64                                      3.0.27-9.fc36                        @fedora-updates           
clutter-gtk.x86_64                                       1.8.4-13.fc36                        @anaconda                 
cmake-filesystem.x86_64                                  3.25.2-1.fc36                        @updates                  
cmrt.x86_64                                              1.0.6-17.fc36                        @anaconda                 
code.x86_64                                              1.74.3-1673284922.el7                @@commandline             
cogl.x86_64                                              1.22.8-5.fc36                        @anaconda                 
color-filesystem.noarch                                  1-28.fc36                            @anaconda                 
colord.x86_64                                            1.4.6-1.fc36                         @anaconda                 
colord-gtk4.x86_64                                       0.3.0-1.fc36                         @anaconda                 
colord-libs.i686                                         1.4.6-1.fc36                         @anaconda                 
colord-libs.x86_64                                       1.4.6-1.fc36                         @anaconda                 
comgr.x86_64                                             5.2.3.50203.2-copr.fc36              @nobara-baseos            
compat-lua-libs.x86_64                                   5.1.5-20.fc36                        @fedora                   
compiler-rt.x86_64                                       14.0.5-1.fc36                        @fedora-updates           
compsize.x86_64                                          1.5-3.fc36                           @anaconda                 
conmon.x86_64                                            2:2.1.5-1.fc36                       @updates                  
container-selinux.noarch                                 2:2.198.0-1.fc36                     @updates                  
containers-common.noarch                                 4:1-65.fc36                          @updates                  
containers-common-extra.noarch                           4:1-65.fc36                          @updates                  
copy-jdk-configs.noarch                                  4.1-1.fc36                           @updates                  
coreutils.x86_64                                         9.0-9.fc36                           @updates                  
coreutils-common.x86_64                                  9.0-9.fc36                           @updates                  
corosynclib.x86_64                                       3.1.7-1.fc36                         @updates                  
cpio.x86_64                                              2.13-12.fc36                         @anaconda                 
cpp.x86_64                                               12.2.1-4.fc36                        @updates                  
cracklib.x86_64                                          2.9.6-28.fc36                        @anaconda                 
cracklib-dicts.x86_64                                    2.9.6-28.fc36                        @anaconda                 
crawl-common-data.noarch                                 0.29.1-2.fc36                        @updates                  
crawl-tiles.x86_64                                       0.29.1-2.fc36                        @updates                  
createrepo_c.x86_64                                      0.20.1-1.fc36                        @fedora-updates           
createrepo_c-libs.x86_64                                 0.20.1-1.fc36                        @fedora-updates           
criu.x86_64                                              3.17.1-2.fc36                        @fedora-updates           
criu-libs.x86_64                                         3.17.1-2.fc36                        @fedora-updates           
cronie.x86_64                                            1.5.7-5.fc36                         @updates                  
cronie-anacron.x86_64                                    1.5.7-5.fc36                         @updates                  
crontabs.noarch                                          1.11-27.20190603git.fc36             @updates                  
crun.x86_64                                              1.7.2-3.fc36                         @updates                  
crypto-policies.noarch                                   20220428-1.gitdfb10ea.fc36           @fedora-updates           
crypto-policies-scripts.noarch                           20220428-1.gitdfb10ea.fc36           @fedora-updates           
cryptsetup.x86_64                                        2.4.3-2.fc36                         @anaconda                 
cryptsetup-libs.x86_64                                   2.4.3-2.fc36                         @anaconda                 
ctags.x86_64                                             5.9-3.20220206.0.fc36                @anaconda                 
cups.x86_64                                              1:2.4.2-5.fc36                       @updates                  
cups-client.x86_64                                       1:2.4.2-5.fc36                       @updates                  
cups-filesystem.noarch                                   1:2.4.2-5.fc36                       @updates                  
cups-filters.x86_64                                      1.28.16-2.fc36                       @fedora-updates           
cups-filters-braille.x86_64                              1.28.16-2.fc36                       @fedora-updates           
cups-filters-libs.x86_64                                 1.28.16-2.fc36                       @fedora-updates           
cups-ipptool.x86_64                                      1:2.4.2-5.fc36                       @updates                  
cups-libs.i686                                           1:2.4.2-5.fc36                       @updates                  
cups-libs.x86_64                                         1:2.4.2-5.fc36                       @updates                  
cups-pk-helper.x86_64                                    0.2.6-14.fc36                        @anaconda                 
curl.x86_64                                              7.82.0-12.fc36                       @updates                  
cxl-libs.x86_64                                          75-1.fc36                            @updates                  
cyrus-sasl.x86_64                                        2.1.27-18.fc36                       @fedora                   
cyrus-sasl-gssapi.x86_64                                 2.1.27-18.fc36                       @anaconda                 
cyrus-sasl-lib.i686                                      2.1.27-18.fc36                       @anaconda                 
cyrus-sasl-lib.x86_64                                    2.1.27-18.fc36                       @anaconda                 
cyrus-sasl-plain.x86_64                                  2.1.27-18.fc36                       @anaconda                 
dash.x86_64                                              0.5.10.2-10.fc36                     @anaconda                 
daxctl-libs.x86_64                                       75-1.fc36                            @updates                  
dbus.x86_64                                              1:1.14.4-1.fc36                      @updates                  
dbus-broker.x86_64                                       32-1.fc36                            @fedora-updates           
dbus-common.noarch                                       1:1.14.4-1.fc36                      @updates                  
dbus-daemon.x86_64                                       1:1.14.4-1.fc36                      @updates                  
dbus-glib.x86_64                                         0.112-3.fc36                         @anaconda                 
dbus-libs.i686                                           1:1.14.4-1.fc36                      @updates                  
dbus-libs.x86_64                                         1:1.14.4-1.fc36                      @updates                  
dbus-tools.x86_64                                        1:1.14.4-1.fc36                      @updates                  
dbus-x11.x86_64                                          1:1.14.4-1.fc36                      @updates                  
dbusmenu-qt.x86_64                                       0.9.3-0.28.20160218.fc36             @fedora                   
dconf.i686                                               0.40.0-6.fc36                        @anaconda                 
dconf.x86_64                                             0.40.0-6.fc36                        @anaconda                 
dconf-editor.x86_64                                      3.38.3-3.fc36                        @anaconda                 
debugedit.x86_64                                         5.0-3.fc36                           @anaconda                 
dee.x86_64                                               1.2.7-40.fc36                        @anaconda                 
default-editor.noarch                                    6.0-2.fc36                           @anaconda                 
dejavu-sans-fonts.noarch                                 2.37-18.fc36                         @anaconda                 
dejavu-sans-mono-fonts.noarch                            2.37-18.fc36                         @anaconda                 
dejavu-serif-fonts.noarch                                2.37-18.fc36                         @anaconda                 
deltarpm.x86_64                                          3.6.2-11.fc36                        @anaconda                 
